doc_id,doc_url,doc_url_serverless,previous_version_doc_url,description
ack-watch,https://www.elastic.co/docs/explore-analyze/alerts-cases/watcher/actions#example,[use-doc-url],,Learn more about actions
apis,https://www.elastic.co/docs/api/doc/elasticsearch,[use-doc-url],,More about the Elasticsearch API
add-nodes,https://www.elastic.co/docs/deploy-manage/maintenance/add-and-remove-elasticsearch-nodes,[use-doc-url],,More about node management
ai21-api-models,https://docs.ai21.com/docs/jamba-foundation-models,[use-doc-url],,Learn more about Jamba
ai21-rate-limit,https://docs.ai21.com/reference/api-rate-limits,[use-doc-url],,Learn more about rate limits
alias-update,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-indices-put-alias,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-indices-put-alias,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/indices-add-alias.html,Creating or updating an alias
aliases,https://www.elastic.co/docs/manage-data/data-store/aliases,[use-doc-url],,Aliases
aliases-update,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-indices-update-aliases,https://www.elastic.co/docs/api/doc/elasticsearch-serverless/operation/operation-indices-update-aliases,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/indices-aliases.html,Creating or updating aliases
alibabacloud-api-keys,https://opensearch.console.aliyun.com/cn-shanghai/rag/api-key,[use-doc-url],,More about Alibaba Cloud API keys
analysis-analyzers,https://www.elastic.co/docs/reference/text-analysis/analyzer-reference,[use-doc-url],,Learn more about analyzers
amazonbedrock-models,https://docs.aws.amazon.com/bedrock/latest/userguide/models-supported.html,[use-doc-url],,More about Amazon Bedrock models
amazonbedrock-secret-keys,https://docs.aws.amazon.com/IAM/latest/usingrGuide/id_credentials_access-keys.html,[use-doc-url],,About managing access keys for
amazonsagemaker-invoke,https://docs.aws.amazon.com/sagemaker/latest/APIReference/API_runtime_InvokeEndpoint.html,[use-doc-url],,More about InvokeEndpoint
amazonsagemaker-secret-keys,https://docs.aws.amazon.com/IAM/latest/usingrGuide/id_credentials_access-keys.html,[use-doc-url],,About managing access keys for
analysis-charfilters,https://www.elastic.co/docs/reference/text-analysis/character-filter-reference,[use-doc-url],,About character filter reference
analysis-normalizers,https://www.elastic.co/docs/reference/text-analysis/normalizers,[use-doc-url],,Learn more about normalizers
analysis-standard-analyzer,https://www.elastic.co/docs/reference/text-analysis/analysis-standard-analyzer,[use-doc-url],,More about the standard analyzer
analysis-tokenfilters,https://www.elastic.co/docs/reference/text-analysis/token-filter-reference,[use-doc-url],,Learn more about token filters
analysis-tokenizers,https://www.elastic.co/docs/reference/text-analysis/tokenizer-reference,[use-doc-url],,Learn more about tokenizers
analysis,https://www.elastic.co/docs/manage-data/data-store/text-analysis,[use-doc-url],,Learn more about text analysis
analyze-repository,https://www.elastic.co/docs/api/doc/elasticsearch/operation/operation-snapshot-repository-analyze,,https://www.elastic.co/guide/en/elasticsearch/reference/8.19/repo-analysis-api.html,About analyzing a snapshot
